game 2
ply 0|0000000000000000000000000000000000000000000000000000000|14 14 0 0|0 0 0 0|0 0 0 0|1|0||1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
ply 47|0000000000000000000000000000000000000000000000100000000|13 14 0 0|0 0 0 0|0 0 0 0|2|0||1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 48 49 50 51 52 53 54 55
ply 35|0000000000000000000000000000000000200000000000100000000|13 13 0 0|0 0 0 0|0 0 0 0|1|0||1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 39 41 42 43 44 45 46 48 49 50 51 52 53 54 55
ply 27|0000000000000000000000000010000000200000000000100000000|12 13 0 0|0 0 0 0|0 0 0 0|2|0||1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 36 37 38 39 40 41 42 43 44 45 46 48 49 50 51 52 53 54 55
ply 15|0000000000000020000000000010000000200000000000100000000|12 12 0 0|0 0 0 0|0 0 0 0|1|0||1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 36 37 38 39 41 42 43 44 45 46 48 49 50 51 52 53 54 55
ply 17|0000000000000020100000000010000000200000000000100000000|11 12 0 0|0 0 0 0|0 0 0 0|2|0||1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 36 37 38 39 40 41 42 43 44 45 46 48 49 50 51 52 53 54 55
ply 3|0020000000000020100000000010000000200000000000100000000|11 11 0 0|0 0 0 0|0 0 0 0|1|0||1 2 4 5 6 7 8 9 11 12 13 14 16 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 36 37 38 39 41 42 43 44 45 46 48 49 50 51 52 53 54 55
ply 5|0020100000000020100000000010000000200000000000100000000|10 11 0 0|0 0 0 0|0 0 0 0|2|0||1 4 6 7 8 9 10 11 12 13 14 16 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 36 37 38 39 40 41 42 43 44 45 46 48 49 50 51 52 53 54 55
ply 1|2020100000000020100000000010000000200000000000100000000|10 10 0 0|0 0 0 0|0 0 0 0|1|0||2 4 6 7 8 9 11 12 13 14 16 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 36 37 38 39 41 42 43 44 45 46 48 49 50 51 52 53 54 55
ply 12|2020100000010020100000000010000000200000000000100000000|9 10 0 0|0 0 0 0|0 0 0 0|2|0||4 6 7 8 9 10 11 13 14 16 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 36 37 38 39 40 41 42 43 44 45 46 48 49 50 51 52 53 54 55
ply 46|2020100000010020100000000010000000200000000002100000000|9 9 0 0|0 0 0 0|0 0 0 0|1|0||2 4 6 7 8 9 11 13 14 16 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 36 37 38 39 41 42 43 44 45 48 49 50 51 52 53 54 55
ply 37|2020100000010020100000000010000000201000000002100000000|8 9 0 0|0 0 0 0|0 0 0 0|2|0||4 6 7 8 9 10 11 13 14 16 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 36 38 40 41 42 43 44 45 48 49 50 51 53 54 55
ply 51|2020100000010020100000000010000000201000000002100020000|8 8 0 0|0 0 0 0|0 0 0 0|1|0||2 4 6 7 8 9 11 13 14 16 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 36 38 39 41 42 43 44 45 48 49 50 52 53 54 55
ply 29|2020100000010020100000000010100000201000000002100020000|7 8 0 0|0 0 0 0|0 0 0 0|2|0||4 6 7 8 9 10 11 13 14 16 18 19 20 21 22 23 24 25 26 28 30 31 32 33 34 36 38 40 41 42 43 44 45 48 49 50 53 54 55
ply 33|2020100000010020100000000010100020201000000002100020000|7 7 0 0|0 0 0 0|0 0 0 0|1|0||2 4 6 7 8 9 11 13 14 16 18 19 20 21 22 23 24 25 26 28 30 31 32 34 36 38 39 41 42 43 44 45 48 49 50 52 53 54 55
ply 54|2020100000010020100000000010100020201000000002100020010|6 7 0 0|0 0 0 0|0 0 0 0|2|0||4 6 7 8 9 10 11 13 14 16 18 19 20 21 22 23 24 25 26 28 30 31 32 34 36 38 40 41 42 43 44 45 48 49 50 53 55
ply 40|2020100000010020100000000010100020201002000002100020010|6 6 0 0|0 0 0 0|0 0 0 0|1|0||2 4 6 7 8 9 11 13 14 16 18 19 20 21 22 23 24 25 26 28 30 31 32 34 36 38 39 41 42 43 44 45 48 49 50 52
ply 32|2020100000010020100000000010100120201002000002100020010|5 6 0 0|0 0 0 0|0 0 0 0|2|0||4 6 7 8 9 10 11 13 14 16 18 19 20 21 22 23 24 25 26 28 30 31 34 36 38 41 42 43 44 45 48 49 50 53 55
ply 28|2020100000010020100000000012100120201002000002100020010|5 5 0 0|0 0 0 0|0 0 0 0|1|0||2 4 6 7 8 9 11 13 14 16 18 19 20 21 22 23 24 25 26 30 31 34 36 38 39 41 42 43 44 45 48 49 50 52
ply 30|2020100000010020100000000012110120201002000002100020010|4 5 0 0|0 0 0 0|0 0 0 0|2|0||4 6 7 8 9 10 11 13 14 16 18 19 20 21 22 23 24 25 26 31 34 36 38 41 42 43 44 45 48 49 50 53 55
